RegionName,State,StateCodeFIPS,MunicipalCodeFIPS,ZHVI_2022,FIPS_str,Area_Name,Median_Income_2022
Los Angeles County,CA,6,37,833072.4241138796,06037,"Los Angeles County, CA",82455.0
Cook County,IL,17,31,285099.3104368359,17031,"Cook County, IL",76614.0
Harris County,TX,48,201,287335.92501086876,48201,"Harris County, TX",68748.0
Maricopa County,AZ,4,13,474693.1817215331,04013,"Maricopa County, AZ",83668.0
San Diego County,CA,6,73,845985.8215922009,06073,"San Diego County, CA",98365.0
Orange County,CA,6,59,996574.6015754336,06059,"Orange County, CA",106047.0
Kings County,NY,36,47,870166.0092620881,36047,"Kings County, NY",73244.0
Miami-Dade County,FL,12,86,478773.0169705461,12086,"Miami-Dade County, FL",66952.0
Dallas County,TX,48,113,320523.26921310084,48113,"Dallas County, TX",70871.0
Riverside County,CA,6,65,588764.2094286345,06065,"Riverside County, CA",86350.0
Queens County,NY,36,81,710655.2473274485,36081,"Queens County, NY",80180.0
King County,WA,53,33,825118.9904657413,53033,"King County, WA",116044.0
Clark County,NV,32,3,420006.40909511177,32003,"Clark County, NV",70838.0
San Bernardino County,CA,6,71,528881.4089448134,06071,"San Bernardino County, CA",78779.0
Tarrant County,TX,48,439,336897.7783758942,48439,"Tarrant County, TX",76285.0
Bexar County,TX,48,29,274412.27971023915,48029,"Bexar County, TX",65839.0
Santa Clara County,CA,6,85,1444708.4301066163,06085,"Santa Clara County, CA",150502.0
Broward County,FL,12,11,416067.107847142,12011,"Broward County, FL",70834.0
Wayne County,MI,26,163,152492.91938737003,26163,"Wayne County, MI",55928.0
Alameda County,CA,6,1,1063632.915916346,06001,"Alameda County, CA",121190.0
New York County,NY,36,61,1345861.9382549075,36061,"New York County, NY",95514.0
Middlesex County,MA,25,17,703101.2924870946,25017,"Middlesex County, MA",118494.0
Philadelphia County,PA,42,101,219601.60699383952,42101,"Philadelphia County/city, PA",56385.0
Sacramento County,CA,6,67,530206.251120103,06067,"Sacramento County, CA",83985.0
